Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1784634772,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1784634773,10,,Aggregated,0.000000,0.000000,190,200,210,300,300,300,300,300,300,300,300,10,0,190,209.3952135008294,163.68064598646015,303.3794659713749,303.6
1784634774,20,,Aggregated,0.000000,0.000000,190,210,240,250,300,300,400,400,400,400,400,23,1,190,197.43270243381394,13.619882985949516,403.5997210012283,255.7391304347826
1784634775,30,,Aggregated,0.000000,0.000000,160,190,240,250,300,420,420,420,420,420,420,39,1,160,173.26350776607003,13.619882985949516,420.5510549945757,286.84615384615387
1784634776,40,,Aggregated,6.000000,0.000000,160,190,250,260,300,420,420,430,430,430,430,60,2,160,171.59929728028752,7.5317709997761995,430.8829359943047,292.25
1784634777,50,,Aggregated,8.000000,0.333333,130,170,190,240,280,300,420,430,430,430,430,89,2,130,148.48613437968882,5.705885996576399,430.8829359943047,290.4157303370786
1784634778,60,,Aggregated,11.000000,0.250000,140,180,210,240,270,300,420,430,580,580,580,125,2,140,155.84362085326575,5.705885996576399,579.9430549959652,285.04
1784634779,70,,Aggregated,14.600000,0.400000,110,170,200,230,280,370,420,430,580,580,580,160,2,110,147.0683500287123,5.0160789978690445,579.9430549959652,289.775
1784634780,80,,Aggregated,16.166667,0.333333,130,180,210,240,300,420,550,580,710,710,710,201,2,130,157.33410533087846,5.0160789978690445,707.3289330000989,289.910447761194
1784634781,90,,Aggregated,18.857143,0.285714,130,180,210,240,300,420,620,690,710,710,710,250,2,130,159.18361165421084,3.5667690099216998,707.3289330000989,280.972
1784634782,100,,Aggregated,21.250000,0.250000,110,170,200,220,290,420,590,690,710,710,710,296,2,110,149.7962962787062,3.5667690099216998,707.3289330000989,282.47972972972974
1784634783,100,,Aggregated,23.333333,0.222222,110,160,190,210,270,400,580,620,710,710,710,338,2,110,143.48553439165525,3.298936993815005,707.3289330000989,287.6834319526627
1784634784,100,,Aggregated,26.400000,0.200000,110,170,200,230,300,420,620,710,1000,1000,1000,383,2,110,152.52262620482102,3.298936993815005,1029.052286001388,286.49608355091385
1784634785,100,,Aggregated,31.500000,0.200000,120,180,220,260,370,550,710,920,1000,1000,1000,430,2,120,173.23517518694686,3.298936993815005,1029.052286001388,287.87441860465117
1784634786,100,,Aggregated,33.300000,0.200000,110,180,220,260,370,570,780,940,1000,1000,1000,481,2,110,173.6314996907932,3.298936993815005,1029.052286001388,293.8170478170478
1784634787,100,,Aggregated,36.400000,0.100000,120,180,230,260,370,570,710,920,1000,1000,1000,533,2,120,174.3146458240558,3.298936993815005,1029.052286001388,295.1050656660413
1784634788,100,,Aggregated,39.400000,0.100000,110,180,220,250,360,550,700,920,1000,1000,1000,572,2,110,170.4690593274549,3.298936993815005,1029.052286001388,294.7972027972028
1784634789,100,,Aggregated,41.600000,0.000000,120,180,220,250,350,550,700,860,1000,1000,1000,615,2,120,169.9483217857021,3.298936993815005,1029.052286001388,294.0406504065041
1784634790,100,,Aggregated,44.600000,0.000000,120,180,230,260,370,570,780,920,1000,1000,1000,661,2,120,175.9115484556882,3.298936993815005,1029.052286001388,294.624810892587
